challenge_team_id,challenge_team_abbr,challenge_side,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails
115,COL,fielding,48,32,16,0.6666666666666666,0.7827918429147118,-0.36160000000000003,0.7827918429147118,0.42119184291471184,0.016308163394056496,0.008774830060723163,1.06536866498923,3.572087624281588,13,6,3
145,CWS,fielding,51,22,29,0.43137254901960786,0.7525066563188061,-0.6554000000000001,0.7525066563188061,0.09710665631880598,0.014755032476839335,0.0019040520846824703,1.3747521405662944,-0.19889707978260257,5,4,10
133,ATH,fielding,41,22,19,0.5365853658536586,0.6264464621477442,-0.42940000000000006,0.6264464621477442,0.1970464621477442,0.015279182003603517,0.004806011271896201,0.9431777378396426,0.8074443568279919,7,5,8
146,MIA,fielding,59,36,23,0.6101694915254238,0.5722931911162162,-0.5198,0.5722931911162162,0.052493191116216156,0.009699884595190106,0.0008897151036646806,1.0406744243048165,0.16621118067206636,4,2,6
138,STL,fielding,35,23,12,0.6571428571428571,0.5562865578110252,-0.2712,0.5562865578110252,0.28508655781102515,0.015893901651743578,0.008145330223172147,0.8218261389131423,2.7208919439454777,7,6,3
142,MIN,fielding,42,27,15,0.6428571428571429,0.5316921424819806,-0.339,0.5316921424819806,0.19269214248198055,0.012659336725761442,0.00458790815433287,0.8010778676664494,2.045821264111234,13,1,4
108,LAA,fielding,38,26,12,0.6842105263157895,0.511955787957326,-0.2712,0.511955787957326,0.24075578795732594,0.013472520735719105,0.006335678630455946,0.8365409474180986,2.621527202757611,3,3,2
136,SEA,fielding,37,25,12,0.6756756756756757,0.47812087328824254,-0.2712,0.47812087328824254,0.20692087328824255,0.012922185764547095,0.005592456034817366,0.8213161334589257,2.638158359403748,7,1,5
112,CHC,fielding,34,24,10,0.7058823529411765,0.4627214421512945,-0.22600000000000003,0.4627214421512945,0.23672144215129448,0.013609454180920426,0.006962395357391014,0.6151285333957899,3.3401520136549423,6,2,2
143,PHI,fielding,28,16,12,0.5714285714285714,0.45385823435875783,-0.2712,0.45385823435875783,0.18265823435875783,0.016209222655669923,0.006523508369955637,0.7125452838988996,2.2579618417873317,4,6,1
135,SD,fielding,41,27,14,0.6585365853658537,0.4179879161121378,-0.3164,0.4179879161121378,0.10158791611213781,0.010194827222247264,0.0024777540515155566,0.7742940096798843,1.164606559597563,7,2,3
118,KC,fielding,38,22,16,0.5789473684210527,0.406868302863049,-0.36160000000000003,0.406868302863049,0.04526830286304893,0.010707060601659183,0.0011912711279749718,0.9123253522232464,0.7954805371661348,3,3,3
139,TB,fielding,41,24,17,0.5853658536585366,0.40067236144385543,-0.38420000000000004,0.40067236144385543,0.016472361443855367,0.00977249662058184,0.00040176491326476507,0.5838831587774274,-0.5417248539846196,3,1,6
110,BAL,batting,37,18,19,0.4864864864864865,0.39643489656450925,-0.42940000000000006,0.39643489656450925,-0.03296510343549076,0.010714456663905655,-0.0008909487414997502,0.7893044697406835,0.23771718652549695,6,4,7
