role,player_id,player_name,challenge_team_abbr,missed_opportunities,missed_xwpa,missed_xwpa_per_opportunity,missed_wpa_if_overturned,avg_missed_overturn_probability,avg_zone_distance_inches,missed_batting_xwpa,missed_fielding_xwpa
pitcher,650633,Michael King,SD,21,0.3017518547825618,0.014369135942026752,0.7476279993943467,0.5980166329978889,1.1234257186253664,0,0.3017518547825618
hitter,592663,J.T. Realmuto,PHI,8,0.2734039837814249,0.03417549797267811,0.3837064174627548,0.7179243804805642,1.5775153370338582,0.2734039837814249,0
pitcher,681035,Christian Scott,NYM,12,0.25991686563991034,0.021659738803325862,0.5022958074346007,0.6561298416517529,1.5010443474727877,0,0.25991686563991034
pitcher,682120,Tim Herrin,CLE,8,0.25764526952741484,0.032205658690926856,0.50408387148034,0.5605801757292526,1.0023356747933423,0,0.25764526952741484
hitter,608701,Rob Refsnyder,SEA,11,0.2214669062346528,0.020133355112241163,0.43894809463064904,0.693292258978627,1.6352470452268726,0.2214669062346528,0
hitter,606466,Ketel Marte,AZ,13,0.2138028921114288,0.016446376316263753,0.4047711966091173,0.7682426686580958,2.049419556587224,0.2138028921114288,0
hitter,680757,Steven Kwan,CLE,22,0.21077268206377053,0.009580576457444116,0.49168660443151235,0.7120409730711053,1.710130017086859,0.21077268206377053,0
pitcher,671096,Andrew Abbott,CIN,22,0.2089919140954594,0.009499632458884518,0.5396267751344404,0.6131599748137888,1.1670724445440965,0,0.2089919140954594
pitcher,668909,Gavin Williams,CLE,15,0.20572659351088254,0.013715106234058836,0.36942772712843785,0.7425778104148101,1.683942650372892,0,0.20572659351088254
pitcher,607625,Seth Lugo,KC,21,0.20416255352256285,0.009722026358217279,0.4571373704626622,0.6455759340025413,1.2706245585978868,0,0.20416255352256285
hitter,596019,Francisco Lindor,NYM,15,0.20307841702879834,0.013538561135253223,0.3139927701601197,0.7818299075513468,1.9701918409648678,0.20307841702879834,0
hitter,690976,Alex Freeland,LAD,8,0.1996152076047392,0.0249519009505924,0.25642918824717587,0.8662580645025174,2.3222600510511886,0.1996152076047392,0
hitter,694497,Evan Carter,TEX,10,0.19890648291768714,0.019890648291768714,0.41783028211528583,0.584479030898174,1.0695842460664597,0.19890648291768714,0
pitcher,690997,Nolan McLean,NYM,19,0.19584092201353884,0.010307416948080992,0.4423988733523061,0.6823456469009799,1.4921689069740491,0,0.19584092201353884
pitcher,605280,Clay Holmes,NYM,8,0.1946756777600803,0.024334459720010037,0.3366486922222583,0.6862291127279109,1.5560913159928245,0,0.1946756777600803
pitcher,642397,Gregory Soto,PIT,3,0.19384445263167496,0.06461481754389166,0.40602079044000006,0.5479090266923028,0.9325870471760376,0,0.19384445263167496
hitter,805999,A.J. Ewing,NYM,17,0.19178768959469278,0.011281628799687811,0.3573323895044713,0.733589996434941,1.7393493743773965,0.19178768959469278,0
hitter,680574,Matt McLain,CIN,16,0.1915560580327488,0.0119722536270468,0.3253603582244802,0.7750283710036493,1.8459440640181661,0.1915560580327488,0
hitter,666018,Jonathan Aranda,TB,14,0.1911546757310534,0.013653905409360957,0.4316111952804008,0.6658735807086181,1.4759133103135602,0.1911546757310534,0
hitter,624413,Pete Alonso,BAL,17,0.18297582515148697,0.01076328383244041,0.490907604890219,0.6241707400113747,1.1792064564487763,0.18297582515148697,0
pitcher,593958,Eduardo Rodriguez,AZ,19,0.18211569639444347,0.00958503665233913,0.532468251796881,0.5763208133400883,1.0120201632190127,0,0.18211569639444347
